date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:52	87735/87735	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2023:22:03%20GMT	https://doralcenter.com.ar/wp-content/uploads/2023/01/Doral0998-1024x683.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2023/01/Doral0998-1024x683.jpg	(from https://doralcenter.com.ar/)
19:10:52	90574/90574	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2023:22:21%20GMT	https://doralcenter.com.ar/wp-content/uploads/2023/01/Doral1381-1024x683.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2023/01/Doral1381-1024x683.jpg	(from https://doralcenter.com.ar/)
19:10:52	119143/119143	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2023:25:30%20GMT	https://doralcenter.com.ar/wp-content/uploads/2023/01/Doral1557-1024x683.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2023/01/Doral1557-1024x683.jpg	(from https://doralcenter.com.ar/)
19:10:53	31015/31015	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2013:46:13%20GMT	https://doralcenter.com.ar/wp-content/uploads/elementor/thumbs/gift-02-q135voyo2odv312kf8oszcowt655iqfdn6nul4dvgo.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/elementor/thumbs/gift-02-q135voyo2odv312kf8oszcowt655iqfdn6nul4dvgo.jpg	(from https://doralcenter.com.ar/)
19:10:53	284/284	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2022:10:51%20GMT	http://doralcenter.com.ar/wp-content/cache/wpfc-minified/ldqgthgh/4bcx6.css	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/ldqgthgh/4bcx6.css	(from https://doralcenter.com.ar/)
19:10:53	192884/192884	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2020:06:34%20GMT	https://doralcenter.com.ar/esthetic/	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/esthetic/index.html	(from https://doralcenter.com.ar/)
19:10:53	12953/12953	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2016:01:56%20GMT	https://doralcenter.com.ar/wp-content/cache/wpfc-minified/ldqgthgh/4bcx6.css	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/ldqgthgh/4bcx6.css	(from https://doralcenter.com.ar/)
19:10:54	190840/190840	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2020:29:40%20GMT	https://doralcenter.com.ar/medicina-estetica/	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/medicina-estetica/index.html	(from https://doralcenter.com.ar/)
19:10:54	159139/159139	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2021:07:00%20GMT	https://doralcenter.com.ar/wellness/	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wellness/index.html	(from https://doralcenter.com.ar/)
19:10:54	128301/128301	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2009:14:02%20GMT	https://doralcenter.com.ar/contacto/	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/contacto/index.html	(from https://doralcenter.com.ar/)
